,,,,,,,,,,,,,,,,,,,"338.259.397,99","172.318.942,89","772.951,40","71.257.983,92","45.272.305,71","36.127.623,15","34.294.494,65","92.191.211,15","0,00",,
ANO,AUTOR,CÓD. EMENDA,UO SIGLA,AÇÃO,SUBAÇÃO,SUBÇÃO DESTINO,TIPO,GRUPO DE DESPESA,MODALIDADE - TIPO DE REPASSE,MUNICÍPIO,OBJETO,TEMÁTICA (FUNÇÃO),OBJETO CONSOLIDADO,STATUS SOCUMENTAL,DETALHAMENTO STATUS PLEITO,IMPEDIMENTO TÉCNICO,ART. LDO,SANEAMENTO IMPEDIMENTO,INVESTIMENTO TOTAL PREVISTO (ANO EMENDA),EMPENHO ORIGINAL,PF SOLICITADA ANO CORRENTE,PF ANO CORRENTE,EMPENHO DO ANO CORRENTE,LIQUIDAÇÃO DO ANO CORRENTE,PAGO DO ANO CORRENTE,RP + PAGO DO ANO CORRENTE,PD ANO CORRENTE,CD_MUNICIPIO,CD_PARLAMENTAR
2024,Adalto Santos,1,FES-PE,4611,EKJP,EKJP,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda tem por objetivo apoiar e garantir os trabalhos sociais e assistenciais desenvolvidos pela entidade FUNDAÇÃO ALTINO VENTURA. localizado na Av. Mauricio de Nassau, n. 2075, Iputinga, Recife. CNPJ: 10.667.814/0001-38",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"1.000.000,00","1.000.000,00",-,-,-,-,-,"1.000.000,00",,2611606,22
2024,Adalto Santos,2,FES-PE,4611,EKJQ,EKJQ,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda tem como finalidade apoiar e garantir os trabalhos sociais e assistenciais desenvolvidos pela entidade INSTITUTO DO FÍGADO E TRANSPLANTE DE PERNAMBUCO - IFP , inscrita no CNPJ: 07.421.280/0001-50",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,"500.000,00",,2611606,22
2024,Adalto Santos,3,MP,1132,EKJR,EKJR,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,A presente emenda tem como finalidade a destinação de recurso ao Ministério Público de Pernambuco - MPPE para apoio a implantação do complexo da nova sede Única do MPPE.,DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"500.000,00",-,-,"500.000,00",-,-,-,-,,2611606,22
2024,Adalto Santos,4,SEPLAG,4424,EKJS,EKJS,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,JABOATAO DOS GUARARAPES,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2607901,22
2024,Adalto Santos,5,FES-PE,3126,EKJT,EKJT,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,ARARIPINA,"A presente emenda tem como finalidade aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos) para apoiar e garantir os trabalhos sociais e assistenciais desenvolvidos pela entidade HOSPITAL E MATERNIDADE SANTA MARIA, localizado no município de Araripina-PE. CNPJ: 10.739.225/0001-18",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2601102,22
2024,Adalto Santos,6,FES-PE,3126,EKJU,EKJU,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CARUARU,"A presente emenda tem como finalidade aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos) para apoiar e garantir os trabalhos sociais e assistenciais desenvolvidos pela entidade INSTITUTO DO CANCER INFANTIL DO AGRESTE - ICIA. CNPJ: 06.061.422.0001-53",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"50.000,00","50.000,00",-,-,-,-,-,"50.000,00",,2604106,22
2024,Adalto Santos,7,FES-PE,4553,EKJV,EKJV,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,SALGUEIRO,"Investimento em equipamentos para realização de procedimentos de média e alta complexidade pelo HOSPITAL REGIONAL INÁCIO DE SÁ, localizado no município de Salgueiro. CNPJ: 10.572.048/0023-33",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"400.000,00","400.000,00",-,-,-,-,-,-,,2612208,22
2024,Adalto Santos,8,SEPLAG,4424,EKJW,EKJW,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,TRACUNHAEM,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"246.100,00","246.100,00",-,-,-,-,-,-,,2615508,22
